"file","date","display_name","url","identity","canonical"
"2025-05-12-2025-W20.md","2025-05-12","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-05-19-2025-W21.md","2025-05-19","Jon Calder","https://fosstodon.org/@jonmcalder","masto:jonmcalder","Jon Calder"
"2025-05-27-2025-W22.md","2025-05-27","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2025-06-02-2025-W23.md","2025-06-02","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-06-09-2025-W24.md","2025-06-09","Eric Nantz","https://podcastindex.social/@rpodcast","masto:rpodcast","Eric Nantz"
"2025-06-16-2025-W25.md","2025-06-16","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2025-06-23-2025-W26.md","2025-06-23","Sam Parmar","https://www.github.com/parmsam","github:parmsam","Sam Parmar"
"2025-06-30-2025-W27.md","2025-06-30","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-07-07-2025-W28.md","2025-07-07","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-07-21-2025-W30.md","2025-07-21","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2025-07-28-2025-W31.md","2025-07-28","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-08-04-2025-W32.md","2025-08-04","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2025-08-11-2025-W33.md","2025-08-11","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-08-18-2025-W34.md","2025-08-18","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2025-08-26-2025-W35.md","2025-08-26","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-09-02-2025-W36.md","2025-09-02","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-09-09-2025-W37.md","2025-09-09","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2025-09-15-2025-W38.md","2025-09-15","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2025-09-22-2025-W39.md","2025-09-22","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-09-29-2025-W40.md","2025-09-29","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2025-10-06-2025-W41.md","2025-10-06","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2025-10-13-2025-W42.md","2025-10-13","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-10-27-2025-W44.md","2025-10-27","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-10-27-2025-W44.md","2025-10-27","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-11-04-2025-W45.md","2025-11-04","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2025-11-10-2025-W46.md","2025-11-10","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2025-11-17-2025-W47.md","2025-11-17","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-11-24-2025-W48.md","2025-11-24","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2025-12-01-2025-W49.md","2025-12-01","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2025-12-08-2025-W50.md","2025-12-08","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-12-15-2025-W51.md","2025-12-15","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-12-22-2025-W52.md","2025-12-22","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2026-01-12-2026-W03.md","2026-01-12","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2026-01-20-2026-W04.md","2026-01-20","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2026-01-26-2026-W05.md","2026-01-26","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2026-02-02-2026-W06.md","2026-02-02","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2026-02-09-2026-W07.md","2026-02-09","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2026-02-16-2026-W08.md","2026-02-16","Batool Almarzouq","https://www.epcc.ed.ac.uk/about-us/our-team/dr-batool-almarzouq","host:epcc.ed.ac.uk","Batool Almarzouq"
"2026-02-23-2026-W09.md","2026-02-23","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2026-03-02-2026-W10.md","2026-03-02","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2026-03-09-2026-W11.md","2026-03-09","Colin Fay","https://colinfay.me/","host:colinfay.me","Colin Fay"
"2026-03-16-2026-W12.md","2026-03-16","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2026-03-23-2026-W13.md","2026-03-23","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2026-03-30-2026-W14.md","2026-03-30","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2026-04-06-2026-W15.md","2026-04-06","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2026-04-13-2026-W16.md","2026-04-13","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2026-04-27-2026-W18.md","2026-04-27","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2026-05-04-2026-W19.md","2026-05-04","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2026-05-11-2026-W20.md","2026-05-11","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2026-05-25-2026-W22.md","2026-05-25","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2026-06-01-2026-W23.md","2026-06-01","Jonathan Kitt","https://www.linkedin.com/in/jonathan-kitt/","host:linkedin.com","Jonathan Kitt"
"2026-06-08-2026-W24.md","2026-06-08","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2026-06-15-2026-W25.md","2026-06-15","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2026-06-22-2026-W26.md","2026-06-22","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2026-06-29-2026-W27.md","2026-06-29","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2026-07-06-2026-W28.md","2026-07-06","Jon Calder","https://bsky.app/profile/jonmcalder.bsky.social","bsky:jonmcalder","Jon Calder"
"2026-07-20-2026-W30.md","2026-07-20","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2026-07-27-2026-W31.md","2026-07-27","Colin","https://colinfay.me","host:colinfay.me","Colin Fay"
"2026-08-03-2026-W32.md","2026-08-03","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2026-08-10-2026-W33.md","2026-08-10","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2026-08-24-2026-W35.md","2026-08-24","Eric Nantz","https://podcastindex.social/@rpodcast","masto:rpodcast","Eric Nantz"
